id,Negation,Infinitiv mit zu,Modalverben,Konjunktiv II,Passiv,Futur I,Partizip 2,Perfekt, Präteritum, Präsens
abwarten und Tee trinken,4.31,1.44,3.7799999999999994,0.18,0,0.72,0,0.18,0.36,95.33
an die Hand geben,1.8,20.12,14.059999999999997,1.53,13.04,1.17,6.11,7.28,7.72,60.05
an die Nieren gehen,2.39,0.92,3.5799999999999996,2.85,0,0.46,1.93,8.36,20.48,67.22
ans Licht bringen,2.12,10.17,7.85,1.44,3.64,1.75,5.68,15.53,29.31,39.58
ein Armutszeugnis ausstellen,4.7700000000000005,1.43,5.010000000000001,4.17,1.43,0.24,6.32,14.540000000000001,9.42,61.26
auf den Geist gehen,4.25,3.26,5.23,1.6199999999999999,0.09,0.54,1.0,4.609999999999999,11.95,81.0
auf den Grund gehen,2.31,29.1,20.039999999999996,0.8500000000000001,2.75,1.89,2.28,3.98,11.38,63.72
auf den Grund kommen,6.56,31.26,6.89,1.85,0,1.34,7.9,2.69,28.57,87.73
auf die Kappe nehmen,4.09,3.2,23.73,0.8400000000000001,0.22,0.34,1.01,3.92,22.59,50.67
auf den Keks gehen,4.67,1.36,4.96,1.56,0,0.68,1.17,3.02,12.06,82.49
auf Kohlen sitzen,2.21,0.44,1.32,0.44,0,0.44,0.44,7.08,22.12,72.12
auf den Kopf hauen,5.54,9.96,11.100000000000001,8.01,3.9,0.72,8.62,14.06,15.81,52.57
auf den Kopf zusagen,1.41,3.18,6.0,2.12,1.41,0,4.59,13.07,45.58,97.53
auf den Leim gehen,17.12,9.39,5.45,4.359999999999999,0.21,1.86,7.53,26.43,14.78,43.01
auf einen Nenner bringen,6.46,21.26,8.559999999999999,0.49000000000000005,4.49,0.26,10.02,3.31,17.39,59.37
auf die Nerven gehen,4.86,3.79,6.769999999999999,1.88,0.03,0.66,1.3,4.26,17.35,72.83
auf die Palme bringen,3.17,2.24,3.8699999999999997,0.9099999999999999,0.18,0.36,2.54,9.8,35.95,51.84
auf die Schippe nehmen,2.26,7.13,4.46,0.18,13.4,0.62,7.59,2.37,40.07,44.66
auf der Stelle treten,3.18,3.76,2.12,0.97,0.22,1.17,0.69,1.88,12.65,82.96
auf Trab bringen,2.18,15.61,14.430000000000001,0.98,5.87,1.37,4.5,5.68,12.34,60.48
auf Trab halten,1.52,2.61,1.6500000000000001,0.2,3.14,1.71,4.07,9.91,28.26,59.48
aufs Gleis bringen,3.31,23.55,11.15,2.06,12.81,0.41,10.74,9.92,6.61,53.31
aus dem Sinn gehen,83.87,0.29,3.81,1.76,0,1.47,1.76,2.64,24.34,74.19
aus der Hand geben,21.790000000000003,8.58,12.34,2.4800000000000004,3.13,1.1,5.7,15.61,30.02,38.16
aus dem Gleis werfen,17.78,7.78,11.110000000000001,3.33,17.78,2.22,7.78,16.66,8.89,34.44
aus der Hand nehmen,21.099999999999998,5.88,13.61,1.74,6.05,1.7,4.56,6.470000000000001,24.76,50.04
aus der Haut fahren,7.39,12.27,20.68,3.9800000000000004,0,0.57,3.41,5.57,9.09,58.64
aus der Klemme helfen,5.29,17.37,20.660000000000004,2.7,1.8,1.9,2.0,8.18,16.57,49.5
aus dem Kopf gehen,86.99,0.46,5.42,1.06,0.07,2.97,1.19,4.69,26.49,66.18
aus dem Kopf schlagen,4.17,10.9,37.49000000000001,3.52,0.96,0.32,4.17,13.46,8.65,36.86
